"Year","Primary Vegetation Suppression","Secondary Vegetation Suppression"
"1985"," - "," - "
"1986"," - "," - "
"1987","341,638"," - "
"1988","123,595"," - "
"1989","86,384","17"
"1990","78,448","20,420"
"1991","50,317","21,666"
"1992","50,003","35,604"
"1993","29,514","29,246"
"1994","35,954","40,486"
"1995","24,985","35,762"
"1996","22,450","35,880"
"1997","13,801","23,466"
"1998","53,587","54,206"
"1999","17,680","41,290"
"2000","21,357","49,343"
"2001","19,029","41,080"
"2002","22,924","48,913"
"2003","24,050","75,893"
"2004","15,420","65,382"
"2005","20,203","80,298"
"2006","16,155","82,224"
"2007","14,425","58,505"
"2008","11,287","48,828"
"2009","8,894","26,679"
"2010","7,746","34,331"
"2011","11,016","54,842"
"2012","7,304","56,808"
"2013","5,694","59,191"
"2014","4,942","44,796"
"2015","7,235","39,911"
"2016","4,793","40,430"
"2017","8,615","46,607"
"2018","7,906","58,916"
"2019","7,904","67,924"
"2020","13,689","68,670"
"2021","6,656","64,177"
"2022","3,992","63,193"
"2023","3,895","62,549"
"2024","1,923","667"